IFI16	RPL17
NPM1	ZNF403
ATP6V0B	COX5B
HSP90B1	ITGB1
DDX50	HSP90B1
ARPC5	CAP1
ANP32E	SET
ITGB1	SFRS11
NPM1	SFRS11
ACTR10	SKP1A
ACTR2	ARPC3
EEF1A1	RPS27
ARL6IP5	KIAA0256
LMAN2	SLC27A3
ARMET	HYOU1
FKBP4	GAMT
SEP15	SPTLC1
C6orf62	SEP15
RPL5	RSL1D1
EEF1A1	RPL5
EEF1G	RPS20
HNRPDL	IPO7
RPL13	RPLP0
CAV1	MMP2
BCLAF1	WWP1
HIATL1	USP9X
BCR	TUFM
218041_x_at	MBNL1
IGFBP7	RBPMS
DDX3X	TMEM123
ADRM1	MDH2
HIATL1	TRAM1
PSMB2	SLC1A7
PPP1CB	ZNF9
ACTG2	MYH11
LOC441347	USP14
TINP1	ZNF83
LSM14A	THRAP1
EXOC1	HNRPDL
MORF4L2	ST13
RPL38	RPS20
LOC441046	ZMYM4
BIRC2	SENP6
PIK3C2A	SLC39A6
TMED5	ZNF277
CSDE1	FLJ11021
COL1A2	COL3A1
DNTTIP2	ZNF638
CLPP	EXOSC4
FLJ14346	RABAC1
COBLL1	KCTD14
NSUN5	NSUN5C
IARS	PNN
CD7	LCK
HLA-F	ICAM3
FANCC	TNK1
HMGB2	HNRPA2B1
LMCD1	TPM1
HCRT	PIK4CB
LSM14A	ZNF9
PDCD4	ZNF9
CDX2	PCDH9
LOC440366	MASP1
AKT3	ATF7
ATP5G3	NDUFB11
CLN6	TBXA2R
TBXA2R	UBE2D4
DDX3X	OGT
WDR45	XRCC2
ADAM21	PCDHGB5
207730_x_at	UBE2D2
NCKAP1	TTC3
CYLC2	ODF1
ATP6AP1	DYNLRB1
CSAG2	KRT2B
KRT2A	PRKAB2
ARPC5	PTP4A2
HLA-B	LILRB1
NAP1L1	WAC
C20orf38	VDAC3
ARID4B	C1orf63
STAG2	USP34
GABARAPL2	RAB7
C3orf60	EXOSC4
METAP2	ZNF83
CD84	CYP2E1
214836_x_at	HLA-G
GTF2I	MATR3
HLA-DPA1	HLA-G
CAPN2	HAP1
IGHG1	IGHV1-69
211639_x_at	IGKC
CCNL1	IFNGR1
LOC56902	TXNL2
CYP2C9	PCDHGB5
RPL29	RPLP0
CRSP3	TOP2B
SUB1	USP34
C6orf111	FLJ10154
SLC35A5	USP33
CAMSAP1L1	CASD1
